Date,Type,Sales
1-2016,New,2532275.58184154
2-2016,New,2534886.22167871
3-2016,New,2538156.81531991
4-2016,New,2538122.83707475
5-2016,New,2543397.93943933
6-2016,New,2543039.83569722
7-2016,New,2546073.44482233
8-2016,New,2548503.28753611
9-2016,New,2557980.72667259
10-2016,New,2558588.30379885
11-2016,New,2561618.78782252
12-2016,New,2554737.80825541
1-2016,Current,21829060.031666
2-2016,Current,21146329.6319817
3-2016,Current,23735686.9387899
4-2016,Current,22409515.2844737
5-2016,Current,25621828.7250966
6-2016,Current,26307858.0400465
7-2016,Current,26705092.5563487
8-2016,Current,23440761.3295266
9-2016,Current,20640047.3199708
10-2016,Current,20086270.4620746
11-2016,Current,20858119.95754
12-2016,Current,21255190.2449756
01-2013,Old,20322683.64
01-2014,Old,22544458.38
01-2015,Old,20088529.29
02-2013,Old,19829620.75
02-2014,Old,21262413.12
02-2015,Old,19772333.34
03-2012,Old,25151525.84
03-2013,Old,22717069.85
03-2014,Old,23247168.62
03-2015,Old,24608406.71
04-2012,Old,24406048.39
04-2013,Old,21625385.04
04-2014,Old,22541987.92
04-2015,Old,21559729.45
05-2012,Old,28249539.01
05-2013,Old,23000152.4
05-2014,Old,25943046.75
05-2015,Old,25792074.59
06-2012,Old,28691364.32
06-2013,Old,24755406.2
06-2014,Old,24782178.43
06-2015,Old,27212464.15
07-2012,Old,28535707.45
07-2013,Old,26803105.56
07-2014,Old,24263117.59
07-2015,Old,26338477.15
08-2012,Old,25793520.64
08-2013,Old,22600217.01
08-2014,Old,21879988.86
08-2015,Old,23130626.6
09-2012,Old,21915641.66
09-2013,Old,21401265.74
09-2014,Old,18407263.58
09-2015,Old,20774415.93
10-2012,Old,21203562.52
10-2013,Old,19296578.09
10-2014,Old,19497571.95
10-2015,Old,20359980.58
11-2012,Old,21736158.96
11-2013,Old,20489773.49
11-2014,Old,19444753.17
11-2015,Old,21936906.81
12-2012,Old,21962976.75
12-2013,Old,21715706.67
12-2014,Old,19240384.75
12-2015,Old,20462899.3
