Store,Month,Year,Address,City,State,Zip,Type,Sum_Dry_Grocery,Sum_Dairy,Sum_Frozen_Food,Sum_Meat,Sum_Produce,Sum_Floral,Sum_Deli,Sum_Bakery,Sum_General_Merchandise,Total_sales,%_Dry_Grocery,%_Dairy,%_Frozen_Food,%_Meat,%_Produce,%_Floral,%_Deli,%_Bakery,%_General_Merchandise
S0001,01,2013,1000 W El Norte Pkwy,Escondido,CA,92027,Existing,911730.78,205562.09,145833.78,175341.29,168295.47,6480.05,81246.99,63135.76,140894.4,1898520.61,0.480232226712566,0.108274879354615,7.6814430789877e-02,9.23568009093143e-02,0.08864558494311,3.4132102468985e-03,4.27948949155732e-02,3.32552407740256e-02,7.42127313540199e-02
S0001,01,2014,1000 W El Norte Pkwy,Escondido,CA,92027,Existing,904691.78,214841.12,152197.1,227652.73,186961.02,8150.03,79169.5,68886.84,123967.09,1966517.21,0.460047730779839,0.109249549867911,7.73942375007234e-02,0.115764422931239,9.50721504237433e-02,4.14439800402255e-03,4.02587374254406e-02,3.50298688715773e-02,6.30389041955041e-02
S0001,01,2015,1000 W El Norte Pkwy,Escondido,CA,92027,Existing,933929.6,223940.11,155662.17,227468.94,176500.67,6143.53,80186.25,64617.73,139043.78,2007492.78,0.465221897336039,0.111552137188757,7.75405877175808e-02,0.113309966673952,8.79209488364885e-02,3.06029992297158e-03,3.99434811416856e-02,3.21882751677941e-02,6.92624060147305e-02
S0001,02,2013,1000 W El Norte Pkwy,Escondido,CA,92027,Existing,814416.99,191860.84,134290.89,177548.95,162988.34,9619.31,69345.67,57399.37,121846.34,1739316.7,0.46823961961614,0.11030816871936,7.72089924738836e-02,0.102079713257511,9.37082591111785e-02,5.53051091845436e-03,3.98694901279336e-02,3.30011032493392e-02,7.00541425262001e-02
S0001,02,2014,1000 W El Norte Pkwy,Escondido,CA,92027,Existing,803685.3,185913.27,131640.61,194278.47,176289.94,21222.49,78137.28,67438.24,114685.35,1773290.95,0.45321682829318,0.104840815885289,7.42352009409398e-02,0.109558146676382,9.94139963326379e-02,1.19678555851199e-02,4.40634290723696e-02,3.8029991637864e-02,6.46737355762178e-02
S0001,02,2015,1000 W El Norte Pkwy,Escondido,CA,92027,Existing,836000,187751.12,137426.31,200203.76,174706.91,12120.48,71085.27,60983.77,123661.92,1803939.54,0.463430165736042,0.10407838834776,7.61812172485559e-02,0.110981413490166,9.68474309288658e-02,6.71889480287128e-03,3.94055723175734e-02,3.38058835386468e-02,6.85510335895182e-02
S0001,03,2012,1000 W El Norte Pkwy,Escondido,CA,92027,Existing,1067703.95,233985.14,155166.8,225170.47,225673.98,21675.3,101809.42,77006.78,156945.15,2265136.99,0.471363963730953,0.103298449953793,6.85021703698371e-02,9.94069987793542e-02,9.96292855559257e-02,9.56909012377216e-03,4.49462528974903e-02,3.39965222147558e-02,6.9287266374119e-02
S0001,03,2013,1000 W El Norte Pkwy,Escondido,CA,92027,Existing,944553.35,211354.22,162587.05,188400.83,196682.68,10679.26,80656.51,67920.77,141987.06,2004821.73,0.471140818091592,0.105422949500852,8.10980086493775e-02,9.39738567179238e-02,9.81048225170624e-02,5.32678783364943e-03,4.02312628564735e-02,3.38787080086168e-02,7.08227858244533e-02
S0001,03,2014,1000 W El Norte Pkwy,Escondido,CA,92027,Existing,867556.23,221742.89,139789.12,216516.46,202253.56,11107.12,84050.05,68487.9,121663.35,1933166.68,0.448774665410641,0.114704485802538,7.23109504453077e-02,0.112000926893691,0.104622928841294,5.74555733600788e-03,4.34779115890824e-02,3.54278297409926e-02,6.29347439404449e-02
S0001,03,2015,1000 W El Norte Pkwy,Escondido,CA,92027,Existing,1100476,229933.61,179365.7,238382.52,218993.52,25972.41,89446.22,76336.66,161266.31,2320172.95,0.474307745032542,9.91019268628228e-02,7.7307038684336e-02,0.102743426950133,9.43867223346432e-02,1.11941698139356e-02,3.85515312554609e-02,3.29012800532822e-02,6.95061590128443e-02
S0001,04,2012,1000 W El Norte Pkwy,Escondido,CA,92027,Existing,943879.65,200299.99,155998.34,216787.83,209257.48,9969.36,90967.51,69797.7,146573.55,2043531.41,0.461886538851879,9.8016594714343e-02,7.63376277147607e-02,0.106084902311338,0.102399933260629,4.87849609319193e-03,4.45148577383501e-02,3.41554329228539e-02,7.17256163926543e-02
S0001,04,2013,1000 W El Norte Pkwy,Escondido,CA,92027,Existing,914570.36,210804.08,141354.05,189006.29,183923.56,24569.9,78914.1,62874.14,137317.08,1943333.56,0.470619341334279,0.10847550021212,7.27379246206194e-02,9.72587999766751e-02,9.46433302988912e-02,1.26431717671772e-02,4.06075938913956e-02,3.23537560890988e-02,7.06605818097435e-02
S0001,04,2014,1000 W El Norte Pkwy,Escondido,CA,92027,Existing,843073.31,199809.18,139605.37,184514.64,189098.1,23244.52,72447.5,69503.47,127618.93,1848915.02,0.455982725479725,0.10806834161583,7.55066449727906e-02,9.97961712702188e-02,0.102275171089259,1.25719785650289e-02,3.91837911512017e-02,3.75914897375867e-02,6.90236861183593e-02
S0001,04,2015,1000 W El Norte Pkwy,Escondido,CA,92027,Existing,792263.31,169492.08,134831.87,175628.89,169020.76,10246.06,72314.99,60003.03,115421.02,1699222.01,0.466250616657208,9.97468718051739e-02,7.93491781571261e-02,0.103358412830352,9.94694978085883e-02,6.02985362695484e-03,4.25577055702097e-02,3.53120602527977e-02,6.79258032915899e-02
S0001,05,2012,1000 W El Norte Pkwy,Escondido,CA,92027,Existing,986573.32,203033.25,159929.02,226422.54,239711.93,18662.12,94298.67,75046.83,159597.43,2163275.11,0.456055411278688,9.38545675773989e-02,7.39291175961434e-02,0.104666548860723,0.110809729604849,8.62678996015444e-03,4.35906970704249e-02,3.46913019306176e-02,7.37758361210008e-02
