Store,Month,Year,Address,City,State,Zip,Type,Sum_Dry_Grocery,Sum_Dairy,Sum_Frozen_Food,Sum_Meat,Sum_Produce,Sum_Floral,Sum_Deli,Sum_Bakery,Sum_General_Merchandise,Total_sales,X._Dry_Grocery,X._Dairy,X._Frozen_Food,X._Meat,X._Produce,X._Floral,X._Deli,X._Bakery,X._General_Merchandise,Cluster
S0001,01,2015,1000 W El Norte Pkwy,Escondido,CA,92027,Existing,933929.6,223940.11,155662.17,227468.94,176500.67,6143.53,80186.25,64617.73,139043.78,2007492.78,0.465221897336039,0.111552137188757,7.75405877175808e-02,0.113309966673952,8.79209488364885e-02,3.06029992297158e-03,3.99434811416856e-02,3.21882751677941e-02,6.92624060147305e-02,2
S0001,02,2015,1000 W El Norte Pkwy,Escondido,CA,92027,Existing,836000,187751.12,137426.31,200203.76,174706.91,12120.48,71085.27,60983.77,123661.92,1803939.54,0.463430165736042,0.10407838834776,7.61812172485559e-02,0.110981413490166,9.68474309288658e-02,6.71889480287128e-03,3.94055723175734e-02,3.38058835386468e-02,6.85510335895182e-02,2
S0001,03,2015,1000 W El Norte Pkwy,Escondido,CA,92027,Existing,1100476,229933.61,179365.7,238382.52,218993.52,25972.41,89446.22,76336.66,161266.31,2320172.95,0.474307745032542,9.91019268628228e-02,7.7307038684336e-02,0.102743426950133,9.43867223346432e-02,1.11941698139356e-02,3.85515312554609e-02,3.29012800532822e-02,6.95061590128443e-02,2
S0001,04,2015,1000 W El Norte Pkwy,Escondido,CA,92027,Existing,792263.31,169492.08,134831.87,175628.89,169020.76,10246.06,72314.99,60003.03,115421.02,1699222.01,0.466250616657208,9.97468718051739e-02,7.93491781571261e-02,0.103358412830352,9.94694978085883e-02,6.02985362695484e-03,4.25577055702097e-02,3.53120602527977e-02,6.79258032915899e-02,2
S0001,05,2015,1000 W El Norte Pkwy,Escondido,CA,92027,Existing,868173.99,183355.57,151743.63,195295.96,212767.84,28451.07,84205.26,69689.89,133016.13,1926699.34,0.450601695851518,9.51656370007373e-02,7.87583339287385e-02,0.101362966159525,0.110431262202021,1.47667409280371e-02,4.37044110888625e-02,3.61706097849185e-02,6.90383430556425e-02,3
S0001,06,2015,1000 W El Norte Pkwy,Escondido,CA,92027,Existing,835600.97,173816,149778.42,187190.93,224984.23,11366.73,83773.13,67312.62,128035.09,1861858.12,0.448799487471151,9.33562005250969e-02,8.04456679008388e-02,0.100539846720436,0.120838547031715,6.10504628569657e-03,4.49943683141656e-02,3.61534637236483e-02,6.8767372027252e-02,2
S0001,07,2015,1000 W El Norte Pkwy,Escondido,CA,92027,Existing,846885.72,181239.74,158106.97,197917.06,223336.07,9451.17,83294.08,69071.26,131519.99,1900822.06,0.445536559061188,9.53480832393117e-02,8.31782065913103e-02,0.10412182400703,0.117494464473966,4.97214873442704e-03,4.38200301610557e-02,3.63375728078408e-02,6.91911109238705e-02,2
S0001,08,2015,1000 W El Norte Pkwy,Escondido,CA,92027,Existing,896144.52,196267.89,157932.57,208524.75,194610.94,9459.03,92455.94,73295.94,131166.03,1959857.61,0.457249810102276,0.100143953825299,8.05836960777982e-02,0.106397908162318,9.92985097524508e-02,4.82638634140365e-03,4.7174825113953e-02,3.73986046874089e-02,6.69263059370931e-02,2
S0001,09,2015,1000 W El Norte Pkwy,Escondido,CA,92027,Existing,869452.46,195960.28,152510.7,216571.18,169414.44,8699.77,85178.17,67740.94,121200.29,1886728.23,0.460825489424092,0.103862483681606,8.08334224161156e-02,0.114786632518876,8.97927095732278e-02,4.61103505087217e-03,4.5145966782932e-02,3.59039203012296e-02,6.42383402510493e-02,2
S0001,10,2015,1000 W El Norte Pkwy,Escondido,CA,92027,Existing,948261.29,214009.96,154926.49,218848.61,168859.19,12467.68,87570.83,73659.74,120816.38,1999420.17,0.474268142448518,0.107036011345229,7.74857092694028e-02,0.109456037947241,8.44540795044595e-02,6.23564780783421e-03,4.37981127298521e-02,3.68405506282354e-02,6.04257083192274e-02,2
